t,YA,YB,YC,YD,T
1.1137123745819398e-05,0.9996265198227781,0.0003734796311023723,5.461207605272989e-10,7.501322099634185e-18,379.5581030286422
1.1237458193979934e-05,0.9996264710512288,0.00037352840262092773,5.461513923524647e-10,7.501416209973232e-18,379.411788304501
1.133779264214047e-05,0.9996264227520636,0.0003735767017558149,5.461816945430897e-10,7.501509187481663e-18,379.2668907331775
1.1438127090301004e-05,0.999626374916562,0.00037362453722742365,5.462116735316709e-10,7.501601055698521e-18,379.1233841534667
1.153846153846154e-05,0.9996263275362495,0.0003736719175102982,5.462413355619939e-10,7.501691837439475e-18,378.9812431417017
1.1638795986622074e-05,0.9996262806028804,0.0003737188508500965,5.462706867026881e-10,7.50178155485132e-18,378.84044296087575
1.173913043478261e-05,0.9996262341084176,0.0003737653452837807,5.462997328633801e-10,7.501870229477011e-18,378.7009595000692
1.1839464882943145e-05,0.9996261880450514,0.00037381140862120696,5.463284797796555e-10,7.501957882193652e-18,378.56276932968234
1.193979933110368e-05,0.9996261424051615,0.00037385704848273644,5.463569330432564e-10,7.502044533334568e-18,378.425849588601
1.2040133779264215e-05,0.9996260971813311,0.00037390227228486627,5.463850980903318e-10,7.5021302026408e-18,378.2901780273036
1.214046822742475e-05,0.9996260523663405,0.0003739470872475779,5.464129802072107e-10,7.502214909283836e-18,378.15573298581717
1.2240802675585285e-05,0.9996260079531386,0.0003739915004219215,5.464405845524834e-10,7.502298671954568e-18,378.0224933109625
1.234113712374582e-05,0.9996259639348611,0.00037403551867205034,5.464679161423866e-10,7.502381508803307e-18,377.89043841025216
1.2441471571906356e-05,0.9996259203048232,0.0003740791486828543,5.464949798568112e-10,7.502463437463506e-18,377.7595482289899
1.254180602006689e-05,0.9996258770564886,0.0003741223969906918,5.465217804638795e-10,7.50254447515063e-18,377.62980315807414
1.2642140468227426e-05,0.9996258341834927,0.00037416526996005467,5.465483226010647e-10,7.502624638585167e-18,377.50118410400364
1.274247491638796e-05,0.9996257916796332,0.00037420777379334493,5.465746107829206e-10,7.502703944023321e-18,377.3736724595478
1.2842809364548496e-05,0.9996257495388423,0.00037424991455814254,5.466006494228251e-10,7.50278240734416e-18,377.2472500219425
1.2943143812709032e-05,0.9996257077552086,0.0003742916981660299,5.466264428159049e-10,7.502860043980294e-18,377.1218990564168
1.3043478260869566e-05,0.999625666322966,0.0003743331303831929,5.466519951474154e-10,7.502936868951112e-18,376.99760226438997
1.3143812709030102e-05,0.999625625236473,0.0003743742168507807,5.466773105089002e-10,7.503012896927193e-18,376.87434272239216
1.3244147157190636e-05,0.9996255844902295,0.00037441496306928073,5.467023928856289e-10,7.503088142179503e-18,376.75210392893905
1.3344481605351171e-05,0.9996255440788654,0.0003744553744085052,5.467272461644686e-10,7.503162618610493e-18,376.6308697745725
1.3444816053511707e-05,0.9996255039971267,0.000374495456122666,5.467518741457899e-10,7.503236339801294e-18,376.51062449663635
1.3545150501672241e-05,0.9996254642398866,0.0003745352133382818,5.467762805337719e-10,7.503309318972612e-18,376.3913527155538
1.3645484949832777e-05,0.999625424802137,0.00037457465106368855,5.468004689438783e-10,7.503381569014208e-18,376.27303940629713
1.3745819397993313e-05,0.9996253856789754,0.0003746137742013106,5.468244429125198e-10,7.503453102523033e-18,376.1556698615742
1.3846153846153847e-05,0.9996253468656181,0.0003746525875348141,5.468482058867882e-10,7.503523931762e-18,376.0392297303674
1.3946488294314383e-05,0.9996253083573875,0.0003746910957419386,5.468717612345566e-10,7.503594068699838e-18,375.92370497943944
